Grand domaine,Domaine,Offres au T2 2023,Part des offres,Evolution sur un an,Part des offres durables,Différence de la part d'offres durables sur un an ,,
Services a la personne et a la collectivite,,355100,"12,8%","-12,7%","73,7%","0,8",,
dont,Accompagnement de la personne,9600,"0,3%","73,9%","87,5%","9,1",,
,"Action sociale, socio-éducative et socio-culturelle",32700,"1,2%","8,2%","69,2%","1,6",,
,Aide à la vie quotidienne,163800,"5,9%","-24,9%","78,2%","-0,6",,
,Conception et mise en oeuvre des politiques publiques,6200,"0,2%","26,8%","89,1%","2,0",,
,Contrôle public,500,"0,0%","-7,4%","68,8%","2,5",,
,Culture et gestion documentaire,2000,"0,1%","8,0%","67,7%","6,2",,
,"Défense, sécurité publique et secours",3000,"0,1%","31,8%","85,5%","-2,0",,
,Développement territorial et emploi,7500,"0,3%","-1,3%","72,6%","0,4",,
,Droit,14600,"0,5%","7,0%","90,3%","3,2",,
,Formation initiale et continue,45700,"1,7%","-13,1%","70,8%","9,8",,
,Nettoyage et propreté industriels,35500,"1,3%","-4,8%","50,9%","-1,6",,
,Propreté et environnement urbain,9800,"0,4%","14,4%","59,3%","2,2",,
,Recherche,2000,"0,1%","-17,2%","81,5%","-9,1",,
,Sécurité privée,21000,"0,8%","6,2%","74,3%","-3,4",,
,Services funéraires,1300,"0,0%","-11,4%","61,7%","-2,6",,
Spectacle,,6000,"0,2%","-0,1%","35,3%","-1,2",,
dont,Animation de spectacles,200,"0,0%","-33,2%","49,7%","-34,5",,
,Artistes - interprètes du spectacle,3200,"0,1%","-5,7%","11,2%","1,5",,
,Conception et production de spectacles,500,"0,0%","-5,3%","74,6%","-5,3",,
,Sport professionnel,300,"0,0%","26,4%","85,2%","9,0",,
,Techniciens du spectacle,1800,"0,1%","16,7%","59,0%","-9,0",,
Support a l'entreprise,,506300,"18,3%","-3,2%","82,1%","0,9",,
dont,Achats,13300,"0,5%","14,2%","85,3%","5,0",,
,Comptabilité et gestion,160000,"5,8%","-17,3%","87,3%","-1,4",,
,Direction d'entreprise,9200,"0,3%","44,3%","98,3%","0,6",,
,Organisation et études,17700,"0,6%","-12,6%","61,1%","8,5",,
,Ressources humaines,52800,"1,9%","-5,4%","83,9%","3,2",,
,Secrétariat et assistance,92300,"3,3%","-3,9%","55,0%","0,8",,
,"Stratégie commerciale, marketing et supervision des ventes",38800,"1,4%","0,8%","88,2%","-0,5",,
,Systèmes d'information et de télécommunication,122300,"4,4%","20,7%","94,6%","-0,3",,
Transport et logistique,,238000,"8,6%","1,9%","39,4%","-1,7",,
dont,Logistique,153100,"5,5%","1,5%","33,7%","-0,8",,
,Transport aérien et activités aéroportuaires,2300,"0,1%","71,1%","73,1%","7,3",,
,Transport maritime et fluvial et activités portuaires,700,"0,0%","13,4%","75,1%","7,3",,
,Transport terrestre,81900,"3,0%","1,2%","48,8%","-4,1",,
TOTAL,,2767800,"100,0%","3,0%","66,0%","-0,1",,
